label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
7,1500.65,22.66,0.9548410637247537,64.0,40.0,55.60875,0.4,5.35,5.21,1600.0,1.0258899676375404,0.93790625
8,1231.93,21.17,0.9460044035746665,65.0,40.0,45.650625,0.40625,4.44,5.14,1600.0,0.8622950819672132,0.76995625
9,1409.02,23.17,0.9380305412081743,78.0,40.0,52.213125,0.4875,5.06,5.26,1600.0,0.9615384615384616,0.8806375
10,3047.22,37.56,0.9089216899594514,120.0,40.0,112.91875,0.75,5.46,11.76,1600.0,0.4648493543758967,1.9045124999999998
11,1280.25,23.55,0.9403151479114018,97.0,40.0,47.44125,0.60625,5.08,5.26,1600.0,0.9647435897435898,0.80015625
12,1157.36,22.49,0.9403735730632717,78.0,40.0,42.8875,0.4875,4.28,5.11,1600.0,0.8382838283828383,0.7233499999999999
13,2964.37,37.06,0.9210138813924362,155.0,40.0,109.84875,0.96875,9.36,7.42,1600.0,1.2613636363636365,1.85273125
14,1353.8,23.1,0.945519012392216,76.0,40.0,50.166875,0.475,5.03,5.11,1600.0,0.9834983498349835,0.846125
15,1163.21,23.8,0.9350570115378879,93.0,40.0,43.104375,0.58125,4.72,5.13,1600.0,0.9210526315789473,0.7270062500000001
1,1401.06,23.56,0.9293601691596836,73.0,40.0,51.918125,0.45625,5.68,4.89,1600.0,1.1620689655172414,0.8756625
2,2686.11,37.78,0.9429080596555419,146.0,40.0,99.5375,0.9125,11.44,5.26,1600.0,2.173076923076923,1.67881875
3,1381.98,22.57,0.9399577846097371,61.0,40.0,51.21125,0.38125,5.36,4.94,1600.0,1.0853242320819112,0.8637375
4,1523.85,23.68,0.9391299828491243,67.0,40.0,56.468125,0.41875,6.17,5.04,1600.0,1.2240802675585285,0.9524062499999999
5,1477.31,23.96,0.9466937593221072,83.0,40.0,54.74375,0.51875,5.68,5.21,1600.0,1.0906148867313916,0.92331875
6,1589.0,33.98,0.8879045482819068,129.0,40.0,58.8825,0.80625,5.33,6.78,1600.0,0.7860696517412935,0.993125
7,1664.95,26.34,0.9276766499703978,88.0,40.0,61.696875,0.55,7.03,5.26,1600.0,1.3365384615384615,1.04059375
8,2098.88,27.5,0.9598528322843392,94.0,40.0,77.776875,0.5875,7.76,5.08,1600.0,1.5282392026578073,1.3118
9,1235.86,22.38,0.944094417172381,79.0,40.0,45.79625,0.49375,5.28,4.54,1600.0,1.1635687732342008,0.7724125
10,1429.19,23.97,0.93251824054408,74.0,40.0,52.960625,0.4625,5.85,5.46,1600.0,1.0709876543209877,0.89324375
11,1260.65,21.09,0.9497814374301108,61.0,40.0,46.715,0.38125,5.26,4.39,1600.0,1.2,0.78790625
12,1333.14,22.45,0.9380614993888038,70.0,40.0,49.40125,0.4375,5.08,6.58,1600.0,0.7717948717948718,0.8332125
